"cty","Name","Fraction_Non-White_in_2010"
"cty48273","Kleberg County, TX",0.7667
"cty13141","Hancock County, GA",0.7654
"cty01119","Sumter County, AL",0.7599
"cty28083","Leflore County, MS",0.7546
"cty01085","Lowndes County, AL",0.7486
"cty28133","Sunflower County, MS",0.7484
"cty01131","Wilcox County, AL",0.7335
"cty15005","Kalawao County, HI",0.7333
"cty28151","Washington County, MS",0.733
"cty37155","Robeson County, NC",0.7305
"cty28103","Noxubee County, MS",0.7304
"cty13259","Stewart County, GA",0.7268
"cty36081","Queens County, NY",0.7235
"cty06037","Los Angeles County, CA",0.7221
"cty28125","Sharkey County, MS",0.7221
"cty48371","Pecos County, TX",0.721
"cty28049","Hinds County, MS",0.7203
"cty24510","Baltimore city, MD",0.7196
"cty22035","East Carroll Parish, LA",0.7167
"cty28157","Wilkinson County, MS",0.7145
"cty28119","Quitman County, MS",0.7119
"cty13095","Dougherty County, GA",0.7112
"cty01047","Dallas County, AL",0.7107
"cty48463","Uvalde County, TX",0.7097
"cty13089","DeKalb County, GA",0.706
"cty01105","Perry County, AL",0.7033
"cty46031","Corson County, SD",0.7032
"cty35013","Do±íáüna County, NM",0.6989
"cty48029","Bexar County, TX",0.6973
"cty30003","Big Horn County, MT",0.6962
"cty22071","Orleans Parish, LA",0.6953
"cty48117","Deaf Smith County, TX",0.6934
"cty15007","Kauai County, HI",0.6928
"cty30035","Glacier County, MT",0.6927
"cty34017","Hudson County, NJ",0.6918
"cty08023","Costilla County, CO",0.6918
"cty45089","Williamsburg County, SC",0.6884
"cty51595","Emporia city, VA",0.6882
"cty15001","Hawaii County, HI",0.6875
"cty02016","Aleutians West Census Area, AK",0.6862
"cty15009","Maui County, HI",0.6823
"cty06047","Merced County, CA",0.681
"cty02185","North Slope Borough, AK",0.6756
"cty06107","Tulare County, CA",0.6745
"cty06019","Fresno County, CA",0.6727
"cty06053","Monterey County, CA",0.6713
"cty48355","Nueces County, TX",0.6712
"cty45061","Lee County, SC",0.6711
"cty28011","Bolivar County, MS",0.6708
"cty48201","Harris County, TX",0.6702
"cty12039","Gadsden County, FL",0.6694
"cty48113","Dallas County, TX",0.6686
"cty34013","Essex County, NJ",0.6681
"cty46007","Bennett County, SD",0.6674
"cty06071","San Bernardino County, CA",0.6671
"cty13037","Calhoun County, GA",0.6639
"cty13193","Macon County, GA",0.6634
"cty45075","Orangeburg County, SC",0.6626
"cty06001","Alameda County, CA",0.6593
"cty28055","Issaquena County, MS",0.6572
"cty37091","Hertford County, NC",0.6563
"cty48025","Bee County, TX",0.6558
"cty05107","Phillips County, AR",0.6537
"cty37015","Bertie County, NC",0.6526
"cty11001","District of Columbia, DC",0.6519
"cty12051","Hendry County, FL",0.6513
"cty28069","Kemper County, MS",0.6495
"cty06085","Santa Clara County, CA",0.6481
"cty06031","Kings County, CA",0.6478
"cty04027","Yuma County, AZ",0.6474
"cty48105","Crockett County, TX",0.6472
"cty30085","Roosevelt County, MT",0.6442
"cty45009","Bamberg County, SC",0.644
"cty36047","Kings County, NY",0.6433
"cty35029","Luna County, NM",0.6415
"cty06077","San Joaquin County, CA",0.6412
"cty20175","Seward County, KS",0.6401
"cty13243","Randolph County, GA",0.6397
"cty13273","Terrell County, GA",0.6386
"cty48157","Fort Bend County, TX",0.6384
"cty48383","Reagan County, TX",0.638
"cty35061","Valencia County, NM",0.6378
"cty48013","Atascosa County, TX",0.6372
"cty28135","Tallahatchie County, MS",0.6371
"cty35055","Taos County, NM",0.6369
"cty22065","Madison Parish, LA",0.6365
"cty13265","Taliaferro County, GA",0.636
"cty13301","Warren County, GA",0.6344
"cty42101","Philadelphia County, PA",0.6313
"cty48069","Castro County, TX",0.6274
"cty13061","Clay County, GA",0.6268
"cty28163","Yazoo County, MS",0.6267
"cty45053","Jasper County, SC",0.6261
"cty35053","Socorro County, NM",0.6244
"cty48189","Hale County, TX",0.6238
"cty37065","Edgecombe County, NC",0.6223
"cty51081","Greensville County, VA",0.622
"cty45039","Fairfield County, SC",0.6202
"cty37185","Warren County, NC",0.6199
"cty13245","Richmond County, GA",0.6199
"cty06039","Madera County, CA",0.6197
"cty48341","Moore County, TX",0.6179
"cty06069","San Benito County, CA",0.6173
"cty48017","Bailey County, TX",0.6169
"cty48369","Parmer County, TX",0.616
"cty01101","Montgomery County, AL",0.6159
"cty13263","Talbot County, GA",0.6156
"cty28065","Jefferson Davis County, MS",0.6154
"cty06029","Kern County, CA",0.6144
"cty51183","Sussex County, VA",0.6142
"cty28001","Adams County, MS",0.6134
"cty47157","Shelby County, TN",0.6129
"cty53001","Adams County, WA",0.6122
"cty51620","Franklin city, VA",0.6116
"cty37131","Northampton County, NC",0.611
"cty48115","Dawson County, TX",0.6095
"cty51760","Richmond city, VA",0.6092
"cty48501","Yoakum County, TX",0.6078
"cty46095","Mellette County, SD",0.6069
"cty01065","Hale County, AL",0.6058
"cty37083","Halifax County, NC",0.6056
"cty31173","Thurston County, NE",0.6053
"cty06065","Riverside County, CA",0.6031
"cty48435","Sutton County, TX",0.603
"cty06011","Colusa County, CA",0.602
"cty51025","Brunswick County, VA",0.6018
"cty22095","St. John the Baptist Parish, LA",0.5999
"cty45067","Marion County, SC",0.5998
"cty28025","Clay County, MS",0.5989
"cty48255","Karnes County, TX",0.5982
"cty48103","Crane County, TX",0.5975
"cty45069","Marlboro County, SC",0.5971
"cty12097","Osceola County, FL",0.597
"cty51740","Portsmouth city, VA",0.5967
"cty05017","Chicot County, AR",0.5965
"cty02282","Yakutat City and Borough, AK",0.5952
"cty51036","Charles City County, VA",0.595
"cty37093","Hoke County, NC",0.5923
"cty06095","Solano County, CA",0.592
"cty13121","Fulton County, GA",0.5915
"cty13247","Rockdale County, GA",0.5913
"cty13261","Sumter County, GA",0.5913
"cty51650","Hampton city, VA",0.5905
"cty48135","Ector County, TX",0.5894
"cty45049","Hampton County, SC",0.5875
"cty35023","Hidalgo County, NM",0.5862
"cty05069","Jefferson County, AR",0.5861
"cty13163","Jefferson County, GA",0.5856
"cty05077","Lee County, AR",0.5856
"cty22107","Tensas Parish, LA",0.5853
"cty35001","Bernalillo County, NM",0.5852
"cty48271","Kinney County, TX",0.5842
"cty08021","Conejos County, CO",0.582
"cty06075","San Francisco County, CA",0.5809
"cty37181","Vance County, NC",0.5795
