"cty","Name","Fraction_Non-White_in_2010"
"cty37041","Chowan County, NC",0.3889
"cty51001","Accomack County, VA",0.3889
"cty13069","Coffee County, GA",0.3884
"cty37033","Caswell County, NC",0.3881
"cty51029","Buckingham County, VA",0.388
"cty12111","St. Lucie County, FL",0.3879
"cty37103","Jones County, NC",0.3877
"cty48001","Anderson County, TX",0.3877
"cty47097","Lauderdale County, TN",0.3876
"cty45047","Greenwood County, SC",0.3869
"cty01053","Escambia County, AL",0.3865
"cty22083","Richland Parish, LA",0.3865
"cty51600","Fairfax city, VA",0.3863
"cty39035","Cuyahoga County, OH",0.386
"cty48075","Childress County, TX",0.3855
"cty46109","Roberts County, SD",0.3854
"cty48347","Nacogdoches County, TX",0.3847
"cty45025","Chesterfield County, SC",0.384
"cty10003","New Castle County, DE",0.3838
"cty12043","Glades County, FL",0.3832
"cty08087","Morgan County, CO",0.3831
"cty48293","Limestone County, TX",0.3828
"cty05139","Union County, AR",0.3823
"cty41031","Jefferson County, OR",0.3817
"cty08055","Huerfano County, CO",0.3815
"cty51770","Roanoke city, VA",0.3812
"cty22079","Rapides Parish, LA",0.3798
"cty45043","Georgetown County, SC",0.3798
"cty13279","Toombs County, GA",0.3797
"cty45019","Charleston County, SC",0.3796
"cty48099","Coryell County, TX",0.3795
"cty48423","Smith County, TX",0.3789
"cty48253","Jones County, TX",0.3788
"cty51159","Richmond County, VA",0.3781
"cty13313","Whitfield County, GA",0.378
"cty37183","Wake County, NC",0.3779
"cty51147","Prince Edward County, VA",0.3776
"cty28127","Simpson County, MS",0.3771
"cty13167","Johnson County, GA",0.3769
"cty28031","Covington County, MS",0.3764
"cty51107","Loudoun County, VA",0.3761
"cty13235","Pulaski County, GA",0.376
"cty34035","Somerset County, NJ",0.3759
"cty48225","Houston County, TX",0.3759
"cty34003","Bergen County, NJ",0.3746
"cty28101","Newton County, MS",0.3739
"cty02020","Anchorage Municipality, AK",0.3736
"cty24005","Baltimore County, MD",0.3732
"cty48073","Cherokee County, TX",0.3728
"cty08099","Prowers County, CO",0.3727
"cty04012","La Paz County, AZ",0.3726
"cty40011","Blaine County, OK",0.371
"cty17163","St. Clair County, IL",0.371
"cty48239","Jackson County, TX",0.3709
"cty13053","Chattahoochee County, GA",0.3708
"cty51053","Dinwiddie County, VA",0.3708
"cty40057","Harmon County, OK",0.3706
"cty51680","Lynchburg city, VA",0.3704
"cty37073","Gates County, NC",0.37
"cty48085","Collin County, TX",0.3692
"cty48275","Knox County, TX",0.3689
"cty40107","Okfuskee County, OK",0.3685
"cty13043","Candler County, GA",0.3682
"cty13253","Seminole County, GA",0.3681
"cty51049","Cumberland County, VA",0.368
"cty08005","Arapahoe County, CO",0.3676
"cty22119","Webster Parish, LA",0.3674
"cty48005","Angelina County, TX",0.3674
"cty29095","Jackson County, MO",0.3672
"cty13101","Echols County, GA",0.3666
"cty48087","Collingsworth County, TX",0.3664
"cty48487","Wilbarger County, TX",0.3657
"cty37069","Franklin County, NC",0.3652
"cty02220","Sitka City and Borough, AK",0.3648
"cty51193","Westmoreland County, VA",0.3648
"cty48327","Menard County, TX",0.3644
"cty51033","Caroline County, VA",0.3643
"cty31047","Dawson County, NE",0.3643
"cty41045","Malheur County, OR",0.3643
"cty13139","Hall County, GA",0.3639
"cty48243","Jeff Davis County, TX",0.3638
"cty12001","Alachua County, FL",0.3634
"cty40023","Choctaw County, OK",0.3625
"cty48491","Williamson County, TX",0.3624
"cty28023","Clarke County, MS",0.3621
"cty45015","Berkeley County, SC",0.3615
"cty17153","Pulaski County, IL",0.361
"cty51013","Arlington County, VA",0.3596
"cty36085","Richmond County, NY",0.3596
"cty48431","Sterling County, TX",0.3587
"cty13105","Elbert County, GA",0.3575
"cty22105","Tangipahoa Parish, LA",0.3575
"cty38061","Mountrail County, ND",0.3574
"cty37085","Harnett County, NC",0.3573
"cty37123","Montgomery County, NC",0.357
"cty40111","Okmulgee County, OK",0.356
"cty48121","Denton County, TX",0.3558
"cty28037","Franklin County, MS",0.3558
"cty51810","Virginia Beach city, VA",0.3551
"cty01121","Talladega County, AL",0.355
"cty12105","Polk County, FL",0.3543
"cty41049","Morrow County, OR",0.354
"cty46023","Charles Mix County, SD",0.3538
"cty40141","Tillman County, OK",0.3537
"cty40113","Osage County, OK",0.3531
"cty06015","Del Norte County, CA",0.3529
"cty53033","King County, WA",0.3521
"cty13127","Glynn County, GA",0.3519
"cty22099","St. Martin Parish, LA",0.3514
"cty13283","Treutlen County, GA",0.3513
"cty13075","Cook County, GA",0.351
"cty13299","Ware County, GA",0.3505
"cty48419","Shelby County, TX",0.3502
"cty48203","Harrison County, TX",0.3501
"cty48287","Lee County, TX",0.35
"cty01125","Tuscaloosa County, AL",0.3496
"cty13181","Lincoln County, GA",0.3495
"cty48125","Dickens County, TX",0.3494
"cty05099","Nevada County, AR",0.3486
"cty48399","Runnels County, TX",0.3485
"cty01129","Washington County, AL",0.3484
"cty40135","Sequoyah County, OK",0.3481
"cty40143","Tulsa County, OK",0.348
"cty13171","Lamar County, GA",0.348
"cty28091","Marion County, MS",0.348
"cty17097","Lake County, IL",0.3479
"cty10001","Kent County, DE",0.3476
"cty16067","Minidoka County, ID",0.3475
"cty36087","Rockland County, NY",0.3466
"cty28015","Carroll County, MS",0.3463
"cty51041","Chesterfield County, VA",0.3461
"cty20189","Stevens County, KS",0.3459
"cty51097","King and Queen County, VA",0.3453
"cty13091","Dodge County, GA",0.3452
"cty45035","Dorchester County, SC",0.3451
"cty36059","Nassau County, NY",0.3451
"cty48139","Ellis County, TX",0.3451
"cty48331","Milam County, TX",0.345
"cty40035","Craig County, OK",0.3445
"cty28067","Jones County, MS",0.3443
"cty37173","Swain County, NC",0.3443
"cty48015","Austin County, TX",0.3435
"cty12093","Okeechobee County, FL",0.3435
"cty12021","Collier County, FL",0.3433
"cty22117","Washington Parish, LA",0.3424
"cty05079","Lincoln County, AR",0.3423
"cty40065","Jackson County, OK",0.3419
"cty28013","Calhoun County, MS",0.3416
"cty40089","McCurtain County, OK",0.3415
"cty41027","Hood River County, OR",0.3415
"cty04007","Gila County, AZ",0.3414
"cty40041","Delaware County, OK",0.3413
"cty13031","Bulloch County, GA",0.3413
"cty01037","Coosa County, AL",0.341
"cty22007","Assumption Parish, LA",0.3407
"cty22127","Winn Parish, LA",0.3399
"cty32031","Washoe County, NV",0.3398
"cty16077","Power County, ID",0.3394
"cty48401","Rusk County, TX",0.3393
"cty28137","Tate County, MS",0.3391
"cty13237","Putnam County, GA",0.3391
"cty45087","Union County, SC",0.3389
"cty44007","Providence County, RI",0.3388
"cty45013","Beaufort County, SC",0.3387
"cty06097","Sonoma County, CA",0.3386
"cty09003","Hartford County, CT",0.3386
"cty01089","Madison County, AL",0.3386
"cty12033","Escambia County, FL",0.3384
"cty24019","Dorchester County, MD",0.3384
"cty02130","Ketchikan Gateway Borough, AK",0.3383
"cty22089","St. Charles Parish, LA",0.3383
"cty09001","Fairfield County, CT",0.3382
"cty22009","Avoyelles Parish, LA",0.3374
"cty28077","Lawrence County, MS",0.3374
"cty48037","Bowie County, TX",0.3373
"cty06027","Inyo County, CA",0.337
"cty51540","Charlottesville city, VA",0.3369
"cty12117","Seminole County, FL",0.3366
"cty35027","Lincoln County, NM",0.3365
"cty37013","Beaufort County, NC",0.3361
"cty48477","Washington County, TX",0.3358
"cty12063","Jackson County, FL",0.3344
"cty51037","Charlotte County, VA",0.3339
"cty24045","Wicomico County, MD",0.3339
"cty13049","Charlton County, GA",0.3332
"cty06035","Lassen County, CA",0.3331
"cty22041","Franklin Parish, LA",0.3329
"cty13065","Clinch County, GA",0.3327
"cty22025","Catahoula Parish, LA",0.3326
"cty48343","Morris County, TX",0.3323
"cty40063","Hughes County, OK",0.3322
"cty37145","Person County, NC",0.3322
"cty16053","Jerome County, ID",0.3315
"cty40097","Mayes County, OK",0.3313
"cty27123","Ramsey County, MN",0.3312
"cty20075","Hamilton County, KS",0.3305
"cty48441","Taylor County, TX",0.3299
"cty48295","Lipscomb County, TX",0.3298
"cty47125","Montgomery County, TN",0.3295
"cty37049","Craven County, NC",0.3293
"cty28095","Monroe County, MS",0.3283
"cty28047","Harrison County, MS",0.328
"cty27105","Nobles County, MN",0.328
"cty48307","McCulloch County, TX",0.3278
"cty22055","Lafayette Parish, LA",0.3277
"cty40133","Seminole County, OK",0.3276
"cty17197","Will County, IL",0.3276
"cty08037","Eagle County, CO",0.3275
"cty48173","Glasscock County, TX",0.3271
"cty37001","Alamance County, NC",0.327
"cty39049","Franklin County, OH",0.3269
"cty02110","Juneau City and Borough, AK",0.3265
"cty13209","Montgomery County, GA",0.3265
"cty40115","Ottawa County, OK",0.3264
"cty05061","Howard County, AR",0.3261
"cty48411","San Saba County, TX",0.3256
"cty09009","New Haven County, CT",0.3248
"cty22049","Jackson Parish, LA",0.3248
"cty08123","Weld County, CO",0.3243
"cty39061","Hamilton County, OH",0.3242
"cty25013","Hampden County, MA",0.3229
"cty13113","Fayette County, GA",0.3225
"cty22111","Union Parish, LA",0.3223
"cty22075","Plaquemines Parish, LA",0.3222
"cty51179","Stafford County, VA",0.322
"cty01067","Henry County, AL",0.322
"cty45003","Aiken County, SC",0.3219
"cty48205","Hartley County, TX",0.3218
"cty53017","Douglas County, WA",0.3216
"cty40105","Nowata County, OK",0.3216
"cty22039","Evangeline Parish, LA",0.3211
"cty19021","Buena Vista County, IA",0.321
"cty28019","Choctaw County, MS",0.321
"cty28085","Lincoln County, MS",0.3203
"cty05043","Drew County, AR",0.32
"cty48051","Burleson County, TX",0.3195
"cty30047","Lake County, MT",0.3193
"cty47047","Fayette County, TN",0.3181
"cty05003","Ashley County, AR",0.3181
"cty32027","Pershing County, NV",0.3181
"cty36071","Orange County, NY",0.318
"cty13293","Upson County, GA",0.3179
"cty06051","Mono County, CA",0.3179
"cty16073","Owyhee County, ID",0.3175
"cty53047","Okanogan County, WA",0.3168
"cty48485","Wichita County, TX",0.3156
"cty35051","Sierra County, NM",0.3156
"cty13173","Lanier County, GA",0.3154
"cty13035","Butts County, GA",0.3152
"cty20093","Kearny County, KS",0.3146
"cty32021","Mineral County, NV",0.3145
"cty22087","St. Bernard Parish, LA",0.3145
"cty28081","Lee County, MS",0.3143
"cty21047","Christian County, KY",0.3143
"cty06045","Mendocino County, CA",0.3141
"cty22109","Terrebonne Parish, LA",0.3135
"cty01069","Houston County, AL",0.3133
"cty41047","Marion County, OR",0.3126
"cty08045","Garfield County, CO",0.3122
"cty29189","St. Louis County, MO",0.3113
"cty13023","Bleckley County, GA",0.311
"cty48161","Freestone County, TX",0.3109
"cty37133","Onslow County, NC",0.3106
"cty32013","Humboldt County, NV",0.3106
"cty45059","Laurens County, SC",0.3102
"cty51840","Winchester city, VA",0.3098
"cty47095","Lake County, TN",0.3094
"cty48179","Gray County, TX",0.3093
"cty32007","Elko County, NV",0.3091
"cty45001","Abbeville County, SC",0.309
"cty48291","Liberty County, TX",0.3083
"cty13201","Miller County, GA",0.3082
"cty40077","Latimer County, OK",0.3081
"cty22085","Sabine Parish, LA",0.3077
"cty22015","Bossier Parish, LA",0.3076
"cty16063","Lincoln County, ID",0.3074
"cty40123","Pontotoc County, OK",0.3072
"cty01123","Tallapoosa County, AL",0.307
"cty48101","Cottle County, TX",0.307
"cty22019","Calcasieu Parish, LA",0.3064
"cty40091","McIntosh County, OK",0.3061
"cty13321","Worth County, GA",0.3061
"cty41059","Umatilla County, OR",0.3057
"cty05147","Woodruff County, AR",0.3056
"cty02195","Petersburg Borough, AK",0.3056
"cty16047","Gooding County, ID",0.3043
"cty51103","Lancaster County, VA",0.3043
"cty29155","Pemiscot County, MO",0.3036
"cty45055","Kershaw County, SC",0.3029
"cty41067","Washington County, OR",0.3025
"cty48405","San Augustine County, TX",0.3025
"cty40095","Marshall County, OK",0.3024
"cty48211","Hemphill County, TX",0.3023
"cty45057","Lancaster County, SC",0.3022
"cty37101","Johnston County, NC",0.302
"cty01081","Lee County, AL",0.3019
"cty42043","Dauphin County, PA",0.301
"cty20173","Sedgwick County, KS",0.3008
"cty28059","Jackson County, MS",0.3007
"cty48257","Kaufman County, TX",0.3002
"cty45083","Spartanburg County, SC",0.2994
"cty51133","Northumberland County, VA",0.2994
"cty45045","Greenville County, SC",0.297
"cty53053","Pierce County, WA",0.2969
"cty48207","Haskell County, TX",0.2968
"cty05019","Clark County, AR",0.2965
"cty48151","Fisher County, TX",0.2962
"cty28033","DeSoto County, MS",0.2958
"cty13155","Irwin County, GA",0.2956
"cty17043","DuPage County, IL",0.2953
"cty13001","Appling County, GA",0.2951
"cty42089","Monroe County, PA",0.295
"cty21111","Jefferson County, KY",0.2949
"cty26145","Saginaw County, MI",0.2947
"cty48071","Chambers County, TX",0.2943
"cty48007","Aransas County, TX",0.294
"cty05091","Miller County, AR",0.2938
"cty12067","Lafayette County, FL",0.2936
"cty34005","Burlington County, NJ",0.2935
"cty12055","Highlands County, FL",0.2934
"cty53007","Chelan County, WA",0.2933
"cty32510","Carson City, NV",0.2929
"cty51830","Williamsburg city, VA",0.2926
"cty37135","Orange County, NC",0.2924
"cty51093","Isle of Wight County, VA",0.2921
"cty28071","Lafayette County, MS",0.2917
"cty22005","Ascension Parish, LA",0.2916
"cty17019","Champaign County, IL",0.2915
"cty22003","Allen Parish, LA",0.2906
"cty12071","Lee County, FL",0.2904
"cty39095","Lucas County, OH",0.2902
"cty48197","Hardeman County, TX",0.2902
"cty48045","Briscoe County, TX",0.2896
"cty05001","Arkansas County, AR",0.2896
"cty01045","Dale County, AL",0.2895
"cty06079","San Luis Obispo County, CA",0.2891
"cty42045","Delaware County, PA",0.289
"cty48483","Wheeler County, TX",0.2889
"cty37037","Chatham County, NC",0.2885
"cty13039","Camden County, GA",0.2878
"cty48339","Montgomery County, TX",0.2877
"cty12087","Monroe County, FL",0.2873
"cty20081","Haskell County, KS",0.2867
"cty48091","Comal County, TX",0.2866
"cty37143","Perquimans County, NC",0.2858
"cty56013","Fremont County, WY",0.2853
"cty26033","Chippewa County, MI",0.285
"cty51089","Henry County, VA",0.2846
"cty36103","Suffolk County, NY",0.2843
"cty42077","Lehigh County, PA",0.284
"cty12125","Union County, FL",0.284
"cty37025","Cabarrus County, NC",0.2836
"cty40069","Johnston County, OK",0.2832
"cty51047","Culpeper County, VA",0.2829
"cty13211","Morgan County, GA",0.2829
"cty02275","Wrangell City and Borough, AK",0.2828
"cty48315","Marion County, TX",0.2828
"cty27053","Hennepin County, MN",0.2827
"cty06103","Tehama County, CA",0.2814
"cty40121","Pittsburg County, OK",0.281
"cty31055","Douglas County, NE",0.2806
"cty51177","Spotsylvania County, VA",0.2804
"cty47065","Hamilton County, TN",0.2803
"cty28041","Greene County, MS",0.2803
"cty08041","El Paso County, CO",0.2801
"cty01041","Crenshaw County, AL",0.2794
"cty13249","Schley County, GA",0.279
"cty02261","Valdez-Cordova Census Area, AK",0.2789
"cty48235","Irion County, TX",0.2789
"cty41051","Multnomah County, OR",0.2788
"cty26161","Washtenaw County, MI",0.2788
"cty22115","Vernon Parish, LA",0.2778
"cty48265","Kerr County, TX",0.2776
"cty13305","Wayne County, GA",0.2774
"cty16027","Canyon County, ID",0.2772
"cty48373","Polk County, TX",0.2771
"cty13207","Monroe County, GA",0.2771
"cty01031","Coffee County, AL",0.2766
"cty51660","Harrisonburg city, VA",0.2765
"cty24003","Anne Arundel County, MD",0.2758
"cty26065","Ingham County, MI",0.2757
"cty29169","Pulaski County, MO",0.2757
"cty48385","Real County, TX",0.2753
"cty06003","Alpine County, CA",0.2749
"cty40019","Carter County, OK",0.2746
"cty17201","Winnebago County, IL",0.2746
"cty31079","Hall County, NE",0.2742
"cty12107","Putnam County, FL",0.2741
"cty48093","Comanche County, TX",0.274
"cty13159","Jasper County, GA",0.2737
"cty13169","Jones County, GA",0.2734
"cty39113","Montgomery County, OH",0.2733
"cty45091","York County, SC",0.2729
"cty17143","Peoria County, IL",0.2728
"cty26049","Genesee County, MI",0.2727
"cty13077","Coweta County, GA",0.2727
"cty40005","Atoka County, OK",0.2725
"cty51007","Amelia County, VA",0.2724
"cty36055","Monroe County, NY",0.2718
"cty05131","Sebastian County, AR",0.2717
"cty06041","Marin County, CA",0.2717
"cty13045","Carroll County, GA",0.2714
"cty30041","Hill County, MT",0.2706
"cty16031","Cassia County, ID",0.2706
"cty21075","Fulton County, KY",0.2701
"cty12123","Taylor County, FL",0.2697
"cty21067","Fayette County, KY",0.2695
"cty40029","Coal County, OK",0.2694
"cty40079","Le Flore County, OK",0.2688
"cty48301","Loving County, TX",0.2683
"cty29133","Mississippi County, MO",0.2672
"cty40061","Haskell County, OK",0.2668
"cty20111","Lyon County, KS",0.2667
"cty17091","Kankakee County, IL",0.2665
"cty19047","Crawford County, IA",0.2664
"cty13161","Jeff Davis County, GA",0.2663
"cty05013","Calhoun County, AR",0.2662
"cty12081","Manatee County, FL",0.266
"cty40145","Wagoner County, OK",0.266
"cty37157","Rockingham County, NC",0.2659
"cty40039","Custer County, OK",0.2658
"cty48149","Fayette County, TX",0.2654
"cty13079","Crawford County, GA",0.2651
"cty13233","Polk County, GA",0.2648
"cty01015","Calhoun County, AL",0.2639
"cty12077","Liberty County, FL",0.2637
"cty48217","Hill County, TX",0.2637
"cty48365","Panola County, TX",0.2637
"cty37159","Rowan County, NC",0.2633
"cty13115","Floyd County, GA",0.2633
"cty40131","Rogers County, OK",0.2632
"cty20203","Wichita County, KS",0.2628
"cty51610","Falls Church city, VA",0.2627
"cty32015","Lander County, NV",0.2625
"cty13073","Columbia County, GA",0.2623
"cty40013","Bryan County, OK",0.2622
"cty12007","Bradford County, FL",0.2614
"cty37141","Pender County, NC",0.2614
"cty40127","Pushmataha County, OK",0.2611
"cty48387","Red River County, TX",0.261
"cty45021","Cherokee County, SC",0.2603
"cty12083","Marion County, FL",0.2601
"cty49035","Salt Lake County, UT",0.2601
"cty51199","York County, VA",0.2596
"cty02090","Fairbanks North Star Borough, AK",0.2595
"cty48397","Rockwall County, TX",0.259
"cty06033","Lake County, CA",0.2587
"cty05143","Washington County, AR",0.2586
"cty53071","Walla Walla County, WA",0.2582
"cty37045","Cleveland County, NC",0.2578
"cty17093","Kendall County, IL",0.2578
"cty53061","Snohomish County, WA",0.2573
"cty40125","Pottawatomie County, OK",0.2563
"cty27007","Beltrami County, MN",0.256
"cty51143","Pittsylvania County, VA",0.256
"cty48233","Hutchinson County, TX",0.2559
"cty55101","Racine County, WI",0.2558
"cty53005","Benton County, WA",0.2554
"cty36105","Sullivan County, NY",0.2549
"cty12069","Lake County, FL",0.2548
"cty26013","Baraga County, MI",0.2545
"cty36027","Dutchess County, NY",0.2544
"cty37179","Union County, NC",0.2543
"cty13013","Barrow County, GA",0.2542
"cty38053","McKenzie County, ND",0.2538
"cty51099","King George County, VA",0.2536
"cty05081","Little River County, AR",0.2536
"cty05037","Cross County, AR",0.2533
"cty48049","Brown County, TX",0.2527
"cty12023","Columbia County, FL",0.2526
"cty48231","Hunt County, TX",0.2524
"cty37137","Pamlico County, NC",0.2523
"cty17009","Brown County, IL",0.2517
"cty48267","Kimble County, TX",0.2511
"cty12045","Gulf County, FL",0.251
"cty16011","Bingham County, ID",0.2506
"cty48351","Newton County, TX",0.2506
"cty01051","Elmore County, AL",0.2504
"cty53019","Ferry County, WA",0.2502
"cty13223","Paulding County, GA",0.25
"cty01007","Bibb County, AL",0.2498
"cty08083","Montezuma County, CO",0.2493
"cty34027","Morris County, NJ",0.2493
"cty16039","Elmore County, ID",0.249
"cty26125","Oakland County, MI",0.2486
"cty06007","Butte County, CA",0.2481
"cty17007","Boone County, IL",0.2475
"cty28129","Smith County, MS",0.2468
"cty48223","Hopkins County, TX",0.2463
"cty48281","Lampasas County, TX",0.246
"cty12127","Volusia County, FL",0.2459
"cty01111","Randolph County, AL",0.2458
"cty48241","Jasper County, TX",0.2456
"cty30015","Chouteau County, MT",0.2453
"cty31157","Scotts Bluff County, NE",0.2445
"cty18141","St. Joseph County, IN",0.2444
"cty47149","Rutherford County, TN",0.2442
"cty10005","Sussex County, DE",0.2441
"cty20177","Shawnee County, KS",0.2438
"cty40027","Cleveland County, OK",0.2432
"cty26097","Mackinac County, MI",0.2431
"cty48429","Stephens County, TX",0.2431
"cty51009","Amherst County, VA",0.243
"cty17161","Rock Island County, IL",0.2425
"cty13177","Lee County, GA",0.2419
"cty42053","Forest County, PA",0.2418
"cty37071","Gaston County, NC",0.2415
"cty40147","Washington County, OK",0.241
"cty40099","Murray County, OK",0.2407
"cty26081","Kent County, MI",0.2404
"cty17077","Jackson County, IL",0.2403
"cty51101","King William County, VA",0.2402
"cty13005","Bacon County, GA",0.2402
"cty36001","Albany County, NY",0.2401
"cty28073","Lamar County, MS",0.2401
"cty25009","Essex County, MA",0.2397
"cty35003","Catron County, NM",0.2397
"cty48053","Burnet County, TX",0.2391
"cty48277","Lamar County, TX",0.239
"cty26021","Berrien County, MI",0.2387
"cty06061","Placer County, CA",0.2386
"cty12035","Flagler County, FL",0.2386
"cty31151","Saline County, NE",0.2382
"cty48285","Lavaca County, TX",0.2382
"cty13147","Hart County, GA",0.238
"cty40085","Love County, OK",0.2374
"cty35028","Los Alamos County, NM",0.2374
"cty20129","Morton County, KS",0.2372
"cty32033","White Pine County, NV",0.2371
"cty28121","Rankin County, MS",0.2368
"cty51075","Goochland County, VA",0.2364
"cty08063","Kit Carson County, CO",0.2358
"cty24037","St. Mary's County, MD",0.2354
"cty18003","Allen County, IN",0.2351
"cty32001","Churchill County, NV",0.235
"cty25017","Middlesex County, MA",0.2347
"cty40007","Beaver County, OK",0.2347
"cty40025","Cimarron County, OK",0.2347
"cty48251","Johnson County, TX",0.2345
"cty48407","San Jacinto County, TX",0.2342
"cty05007","Benton County, AR",0.2337
"cty47167","Tipton County, TN",0.2333
"cty34025","Monmouth County, NJ",0.2331
"cty51011","Appomattox County, VA",0.2331
"cty13221","Oglethorpe County, GA",0.2329
"cty05149","Yell County, AR",0.2328
"cty53057","Skagit County, WA",0.2327
"cty34033","Salem County, NJ",0.2322
"cty37129","New Hanover County, NC",0.2321
"cty12103","Pinellas County, FL",0.231
"cty42011","Berks County, PA",0.231
"cty01079","Lawrence County, AL",0.2306
"cty45063","Lexington County, SC",0.2304
"cty27165","Watonwan County, MN",0.23
"cty48259","Kendall County, TX",0.2294
"cty48319","Mason County, TX",0.2293
"cty51109","Louisa County, VA",0.229
"cty12091","Okaloosa County, FL",0.2285
"cty12019","Clay County, FL",0.2285
"cty47033","Crockett County, TN",0.2285
"cty36093","Schenectady County, NY",0.2283
"cty48067","Cass County, TX",0.2279
"cty18039","Elkhart County, IN",0.2278
"cty06023","Humboldt County, CA",0.2278
"cty01001","Autauga County, AL",0.2275
"cty32009","Esmeralda County, NV",0.2273
"cty45051","Horry County, SC",0.2272
"cty40075","Kiowa County, OK",0.227
"cty26121","Muskegon County, MI",0.2268
"cty12061","Indian River County, FL",0.2264
"cty01103","Morgan County, AL",0.2252
"cty08085","Montrose County, CO",0.225
"cty13029","Bryan County, GA",0.2245
"cty48143","Erath County, TX",0.2245
"cty40071","Kay County, OK",0.2244
"cty41065","Wasco County, OR",0.2244
"cty12009","Brevard County, FL",0.2244
"cty39099","Mahoning County, OH",0.2244
"cty13145","Harris County, GA",0.2241
"cty19193","Woodbury County, IA",0.224
"cty37125","Moore County, NC",0.2239
"cty47053","Gibson County, TN",0.2237
"cty12013","Calhoun County, FL",0.2235
"cty51095","James City County, VA",0.2233
"cty28111","Perry County, MS",0.2233
"cty48425","Somervell County, TX",0.2232
"cty28131","Stone County, MS",0.223
"cty36029","Erie County, NY",0.2229
"cty12121","Suwannee County, FL",0.2226
"cty22043","Grant Parish, LA",0.2218
"cty21093","Hardin County, KY",0.2217
"cty24021","Frederick County, MD",0.2217
"cty37097","Iredell County, NC",0.2216
"cty48289","Leon County, TX",0.2216
"cty08125","Yuma County, CO",0.2209
"cty51003","Albemarle County, VA",0.2207
"cty22057","Lafourche Parish, LA",0.2205
"cty16013","Blaine County, ID",0.2202
"cty37035","Catawba County, NC",0.2201
"cty55059","Kenosha County, WI",0.2195
"cty28155","Webster County, MS",0.2191
"cty48363","Palo Pinto County, TX",0.2189
"cty49057","Weber County, UT",0.2188
"cty51640","Galax city, VA",0.2188
"cty24029","Kent County, MD",0.2185
"cty48381","Randall County, TX",0.2184
"cty32019","Lyon County, NV",0.2183
"cty08007","Archuleta County, CO",0.2183
"cty08075","Logan County, CO",0.2182
"cty24011","Caroline County, MD",0.2181
"cty19127","Marshall County, IA",0.2175
"cty28139","Tippah County, MS",0.2172
"cty09011","New London County, CT",0.2169
"cty40037","Creek County, OK",0.2165
"cty17115","Macon County, IL",0.2162
"cty13297","Walton County, GA",0.216
"cty48171","Gillespie County, TX",0.216
"cty40055","Greer County, OK",0.2156
"cty51119","Middlesex County, VA",0.2149
"cty40083","Logan County, OK",0.2147
"cty12133","Washington County, FL",0.2147
"cty55113","Sawyer County, WI",0.2146
"cty47003","Bedford County, TN",0.2146
"cty28115","Pontotoc County, MS",0.2145
"cty22001","Acadia Parish, LA",0.214
"cty22053","Jefferson Davis Parish, LA",0.2139
"cty01083","Limestone County, AL",0.2135
"cty48181","Grayson County, TX",0.2132
"cty48097","Cooke County, TX",0.2129
"cty45007","Anderson County, SC",0.2125
"cty02240","Southeast Fairbanks Census Area, AK",0.2125
"cty05067","Jackson County, AR",0.2121
"cty32023","Nye County, NV",0.2112
"cty53067","Thurston County, WA",0.2111
"cty40009","Beckham County, OK",0.2107
"cty24041","Talbot County, MD",0.2105
"cty06049","Modoc County, CA",0.2103
"cty42091","Montgomery County, PA",0.2101
"cty40049","Garvin County, OK",0.2098
"cty41071","Yamhill County, OR",0.2091
"cty51065","Fluvanna County, VA",0.2091
"cty53035","Kitsap County, WA",0.2086
"cty40033","Cotton County, OK",0.208
"cty36067","Onondaga County, NY",0.2077
"cty12005","Bay County, FL",0.2076
"cty24025","Harford County, MD",0.2076
"cty01055","Etowah County, AL",0.2072
"cty08013","Boulder County, CO",0.2065
"cty08014","Broomfield County, CO",0.2063
"cty08095","Phillips County, CO",0.2062
"cty17017","Cass County, IL",0.2061
"cty22021","Caldwell Parish, LA",0.206
"cty48031","Blanco County, TX",0.2059
"cty06093","Siskiyou County, CA",0.2053
"cty08073","Lincoln County, CO",0.2052
"cty12129","Wakulla County, FL",0.2048
"cty51820","Waynesboro city, VA",0.2048
"cty20161","Riley County, KS",0.2045
"cty26095","Luce County, MI",0.2045
"cty12037","Franklin County, FL",0.2044
"cty05031","Craighead County, AR",0.2041
"cty04015","Mohave County, AZ",0.2039
"cty06005","Amador County, CA",0.2039
"cty01033","Colbert County, AL",0.2038
"cty01059","Franklin County, AL",0.2036
"cty24009","Calvert County, MD",0.2035
"cty39153","Summit County, OH",0.2033
"cty13015","Bartow County, GA",0.2032
"cty29211","Sullivan County, MO",0.2032
"cty48497","Wise County, TX",0.203
"cty40119","Payne County, OK",0.2029
"cty17037","DeKalb County, IL",0.2029
"cty40117","Pawnee County, OK",0.2028
"cty40017","Canadian County, OK",0.2027
"cty28145","Union County, MS",0.2021
"cty26025","Calhoun County, MI",0.2019
"cty56007","Carbon County, WY",0.2016
"cty22113","Vermilion Parish, LA",0.2016
"cty48081","Coke County, TX",0.2015
"cty26077","Kalamazoo County, MI",0.2009
"cty08059","Jefferson County, CO",0.2009
"cty06017","El Dorado County, CA",0.2009
"cty13129","Gordon County, GA",0.2008
"cty54021","Gilmer County, WV",0.2003
"cty40073","Kingfisher County, OK",0.1998
"cty16087","Washington County, ID",0.1993
"cty48083","Coleman County, TX",0.1992
"cty12101","Pasco County, FL",0.199
"cty39093","Lorain County, OH",0.1985
"cty01117","Shelby County, AL",0.1984
